month,mwh,mw_max_hourly,Coal,Natural Gas,Water,Uranium,Other Fuel,Solar,Wind
1/1/2019,29830019.6,54693.02163,6783551.164,13061430.4,145480.9923,3229800.545,-64996.18707,238603.0537,6436149.634
2/1/2019,26099559.38,53752.27943,6187673.145,10095024.69,71700.70473,3431180.557,-85732.19042,227025.5057,6172686.968
3/1/2019,27821496.74,60756.41426,6004722.695,11616940.9,72964.95943,3722500.508,69694.13595,289484.311,6045189.226
4/1/2019,26804516.6,51639.57305,5131796.683,10718741.24,113684.4872,3252094.121,30215.22575,409587.4636,7148397.375
5/1/2019,32042498.85,60831.74082,6717542.57,14747993.07,190693.692,2934123.807,-69906.69919,376923.4758,7145128.932
6/1/2019,35170345.92,68159.24789,7151502.495,17909328.83,124100.6342,3601152.258,172227.6503,446955.6232,5765078.438
7/1/2019,39246278.17,70969.60081,7776380.567,20859730.69,62907.39221,3704601.414,185527.7808,511011.1239,6146119.207
8/1/2019,41870192.65,74819.7146,7385694.063,23891454.71,54954.11343,3690747.077,314067.3424,504547.5572,6028727.791
9/1/2019,37337692.76,69121.7127,7321206.361,19786406.39,40989.89604,3582101.79,221306.8631,402543.7565,5983137.699
10/1/2019,30695358.85,65303.77697,6359293.395,14118754.11,24687.14316,2876722.136,95164.08012,366980.1567,6853757.827
11/1/2019,27817651.26,56446.43689,5662341.825,11838700,22382.4915,3498267.186,136733.8634,284144.7762,6375081.113
12/1/2019,29322661.21,56080.31099,5375474.5,13125572.41,31330.67676,3790221.119,51766.54575,340049.8259,6608246.138
