month,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
1/1/2019,1895.974468,3627.23296,13258.20561,2363.916496,20380.01341,799.883276,7737.033751,5252.702251
2/1/2019,1854.29354,3226.392996,11889.61816,2170.311912,21957.3017,840.475252,6464.85424,5462.985572
3/1/2019,2196.575072,4121.635012,13809.01023,2780.567908,23547.47636,941.890588,8519.94081,5646.505382
4/1/2019,1969.154396,3715.578396,14322.93323,1760.258812,17339.2788,453.710996,7001.220982,5311.91141
5/1/2019,2293.020908,4250.440816,16199.80042,2155.842324,21348.76462,642.937532,8387.808185,5682.548404
6/1/2019,2544.815952,4704.21834,18890.07581,2548.478048,23789.5438,717.626388,9057.076999,6019.475949
7/1/2019,2621.955164,4809.294104,18323.81581,2664.70726,26306.82344,869.917028,9154.81321,6410.187998
8/1/2019,2777.904288,5086.660156,19489.32606,2852.508996,27405.61004,917.441476,9578.470765,6788.739756
9/1/2019,2621.532992,4609.553096,18363.96092,2629.304104,25339.93099,852.794048,8612.057294,6157.934546
10/1/2019,4843.388976,8778.002864,33896.36276,4749.452024,47948.89695,1525.583212,16729.75536,12172.66105
11/1/2019,1978.202704,3593.685856,12925.10617,2427.628816,21558.07921,880.582676,7639.857526,5824.203989
12/1/2019,1974.856636,3844.493164,13055.78159,2550.228244,20484.72466,795.531172,7910.450116,5951.488183
