branch,mw
1009 60397,227
1010 60397,226
110115 110118,33
110118 110119,7
110120 110119,12
110120 110128,12
110129 110122,1
110129 110130,35
110133 110155,89
110145 110148,135
110943 110954,22
110944 110949,23
110945 110947,15
110946 110948,16
110949 110953,23
110953 110954,22
110953 41450,38
111162 111161,10
1123 1234,31
1163 1307,172
1163 132883,641
1163 18880,51
1170 18880,40
11923 15025,71
1197 1234,31
1198 1196,12
1198 1206,9
1198 1232,42
1202 900839,26
1203 1204,13
1204 1206,8
1210 71213,79
1232 900776,38
1301 1308,172
1307 1308,172
1321 1320,154
1321 1323,41
132331 132332,667
132331 132333,652
132431 132434,929
132436 132434,411
132482 132481,788
132731 132732,994
132783 132781,1525
132832 132831,326
132883 132881,783
1352 11352,10
1355 1360,66
1360 1395,68
1394 1395,65
141607 141604,39
141607 141608,39
141607 141609,39
141662 141663,1190
1452 1543,2
15020 15025,44
15020 15045,83
1532 1534,26
1533 1535,19
1533 901762,27
1535 6107,12
1624 6310,2
1716 37370,7
181651 181652,214
181681 181682,387
181732 181731,994
1996 15045,44
1996 2388,83
2001 15021,42
2071 2076,36
2232 2234,45
2764 2767,35
32000 109081,19
38040 38045,85
38090 904630,192
38310 38330,416
38310 38340,483
38320 38360,32
38360 38365,45
38365 38381,27
38381 38460,24
38440 38460,20
38470 907186,66
40395 40425,27
41040 48240,1
41071 48171,32
41450 110952,5
42150 42810,15
42500 49193,23
42500 49194,19
5812 5814,34
5812 5817,13
5814 5816,31
5816 5821,27
5817 5883,15
5819 5827,19
5820 5823,15
5820 5883,16
5822 5823,14
5822 5836,14
5827 5885,274
5827 8221,83
5836 5848,13
5883 5885,64
5885 181731,940
5885 8234,465
6021 76022,15
60339 170200,77
60361 76032,100
60383 132331,1120
60383 60385,775
60385 181652,44
60385 60393,1194
60387 141663,1151
60392 60415,689
60397 60415,641
6161 6165,9
6165 6200,18
6169 60387,751
6175 6176,17
6211 6219,3
6219 6243,5
6228 60387,240
6260 60355,40
6313 60355,28
6313 6773,21
6364 76390,11
6450 6477,17
6477 6528,18
6480 6490,12
6494 6498,5
6511 6513,6
6511 6552,6
6513 6570,8
6515 6562,24
6517 6535,83
6517 6559,58
6526 60359,21
6526 6529,20
6528 6529,19
6533 6543,16
6536 60361,82
6541 6542,32
6541 907134,32
6542 6544,32
6543 6544,18
6550 6552,6
6559 60374,43
6567 907114,4
6584 76019,228
6584 76580,206
6589 6591,39
6590 6592,41
6590 6599,44
6591 6592,41
6594 6598,48
6594 6599,46
6598 6641,63
6601 38330,442
6601 6632,362
6601 76580,263
6601 76595,209
6601 76600,217
6601 76615,23
6613 6615,12
6613 900778,47
6628 38350,26
6628 6630,25
6628 6663,115
6630 132482,669
6630 38340,497
6630 60383,189
6630 6671,543
6632 6671,352
6641 6642,64
6642 6643,64
6643 38470,64
6645 38350,22
6645 6653,14
6648 60374,31
6648 76011,19
6653 6665,34
6656 60392,692
6656 60408,712
6657 60408,732
6657 6673,781
6663 38490,112
6665 6666,35
6666 6667,16
6666 6674,155
6667 6672,16
6672 6680,33
6673 60393,789
6674 132832,285
6674 38490,113
6678 6680,47
6773 60365,15
7104 7111,8
7111 7477,6
71199 71230,48
71199 76615,56
71212 71213,44
71212 71214,48
71214 76615,60
76000 776998,191
76000 776999,191
76002 132732,781
76016 131033,7
76019 76022,228
76032 76040,400
76040 132783,1501
76040 76615,285
76580 132434,1153
76595 76600,175
76595 776998,191
76595 776999,191
792 1431,23
792 6169,63
79693 79691,4
80481 88909,26
8172 8194,61
8203 8221,41
8231 8672,21
8234 8231,7
8234 8236,202
8234 8246,37
8236 8283,27
8238 8239,3
8243 8672,2
8252 181682,266
8255 8692,112
8260 8264,138
8264 8692,109
8283 8970,57
8380 8908,15
8970 80481,33
