//scn,nd,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,Reference,1,20.889,41.777,-20.889,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,2,23.618,47.236,-23.618,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,3,26.477,52.955,-26.477,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,4,26.899,53.798,-26.899,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,5,30.916,61.833,-30.916,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,6,32.118,64.236,-32.118,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,7,32.617,65.233,-32.617,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,8,32.684,65.369,-32.684,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,9,31.693,63.386,-31.693,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,10,2.935,5.869,-2.935,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,11,2.183,4.366,-2.183,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,12,2.352,4.705,-2.352,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,13,2.081,4.163,-2.081,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,14,2.010,4.020,-2.010,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,15,1.649,3.297,-1.649,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,16,1.069,2.139,-1.069,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,17,1.661,3.323,-1.661,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,18,4.151,8.302,-4.151,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,19,8.649,17.298,-8.649,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,20,14.415,28.831,-14.415,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,21,14.324,28.648,-14.324,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,22,14.580,29.161,-14.580,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,23,7.968,15.936,-7.968,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,Reference,24,7.917,15.834,-7.917,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,1,20.889,41.777,-20.889,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,2,23.618,47.236,-23.618,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,3,26.477,52.955,-26.477,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,4,26.899,53.798,-26.899,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,5,30.916,61.833,-30.916,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,6,32.118,64.236,-32.118,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,7,32.617,65.233,-32.617,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,8,32.684,65.369,-32.684,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,9,31.693,63.386,-31.693,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,10,2.935,5.869,-2.935,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,11,2.183,4.366,-2.183,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,12,2.352,4.705,-2.352,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,13,2.081,4.163,-2.081,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,14,2.010,4.020,-2.010,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,15,1.649,3.297,-1.649,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,16,1.069,2.139,-1.069,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,17,1.661,3.323,-1.661,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,18,4.151,8.302,-4.151,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,19,8.649,17.298,-8.649,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,20,14.415,28.831,-14.415,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,21,14.324,28.648,-14.324,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,22,14.580,29.161,-14.580,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,23,7.968,15.936,-7.968,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,132781,24,7.917,15.834,-7.917,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
//EOF
